CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,CHOCÓ,27600,RÍO QUITO (Paimadó),- 0,- 0,- 0,9.00,21.00,- 0,22.00,9.00,- 0,30.00,16.00,16.00,3.00,3.00,2.59,- 0,- 0,- 0,- 0,0,10.51,3.43
27,CHOCÓ,27615,RIOSUCIO,354.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,75.00,243.00,86.00,196.00,130.00,40.00,90.70,35.75,113.87,104.01,148.83,155.65,"1,036.14",1055.78
27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,- 0,- 0,- 0,- 0,- 0,- 0,7.00,94.00,57.00,107.00,104.00,43.00,92.00,47.00,44.43,323.42,392.52,391.55,180.85,253.79,"1,040.35",1614.01
27,CHOCÓ,27745,SIPÍ,- 0,- 0,76.00,127.00,150.00,248.00,28.00,74.00,122.00,191.00,130.00,125.00,106.00,99.00,91.25,217.90,258.00,246.96,110.08,168.38,382.06,470.09
27,CHOCÓ,27787,TADÓ,- 0,- 0,- 0,2.00,1.53,- 0,- 0,5.00,- 0,- 0,4.00,3.00,2.00,3.00,5.51,3.16,2.71,- 0,- 0,0,- 0,- 0
27,CHOCÓ,27800,UNGUÍA,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,29.00,6.00,4.00,31.00,14.00,75.87,20.66,34.68,28.26,12.67,175.24,417.48,425.3
27,CHOCÓ,27810,UNIÓN PANAMERICANA (Ánimas),- 0,- 0,- 0,2.07,1.41,- 0,- 0,- 0,- 0,- 0,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
23,CÓRDOBA,23350,LA APARTADA,6.56,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
23,CÓRDOBA,23466,MONTELÍBANO,40.55,66.00,232.66,428.00,"1,021.00",376.00,360.00,621.00,681.00,835.00,240.00,224.00,43.00,77.00,186.65,573.86,"1,181.13",974.04,540.63,762.04,"1,143.27",1054.73
23,CÓRDOBA,23580,PUERTO LIBERTADOR,270.78,141.00,193.00,339.00,978.00,447.00,"1,084.00",464.00,728.00,579.00,243.00,214.00,36.00,64.00,207.45,570.62,"1,412.22","1,013.93",855.85,1148.96,"1,374.26",1318.84
23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,99.00,13.00,42.00,97.97,231.94,552.70,441.70,340.85,514.16,575.76,520.37
23,CÓRDOBA,23807,TIERRALTA,322.01,178.00,399.00,669.00,"1,124.00",389.00,414.00,624.00,"1,360.00","2,474.00",604.00,509.00,341.00,376.00,858.62,"1,290.07","1,629.68","2,201.26","1,140.24",1319.84,"2,379.48",3451.51
23,CÓRDOBA,23855,VALENCIA,- 0,- 0,13.04,99.00,13.00,4.00,- 0,1.00,12.00,1.00,1.00,- 0,6.00,1.00,12.31,1.80,4.71,5.48,4.29,3.82,7.65,18.34
